,time_interval,note_pos_bin
0,17,0
1,17,0
2,17,0
3,15,0
4,18,0
5,5,100
6,11,100
7,17,100
8,10,101
9,7,101
10,17,101
11,1,1111
12,15,1111
13,10,1011
14,7,1011
15,17,1011
16,17,1011
17,15,1011
18,17,1011
19,17,1011
20,10,1110
21,7,1110
22,8,1100
23,9,1100
24,16,100
25,17,100
26,16,100
27,17,100
28,12,0
29,5,0
30,16,0
31,17,0
32,16,0
33,17,0
34,17,0
35,17,0
36,16,0
37,17,0
38,17,0
39,17,0
40,16,0
41,17,0
42,17,0
43,16,0
44,16,0
45,17,0
46,17,0
47,17,0
48,16,0
49,17,0
50,17,0
51,17,0
52,17,0
53,15,0
54,16,0
55,18,0
56,17,0
57,16,0
58,18,0
59,16,0
60,16,0
61,17,0
62,17,0
63,16,0
64,17,0
65,16,0
66,17,0
67,18,0
68,16,0
69,15,0
70,18,0
71,17,0
72,17,0
73,16,0
74,17,0
75,17,0
76,16,0
77,17,0
78,16,0
79,17,0
80,17,0
81,16,0
82,18,0
83,16,0
84,16,0
85,17,0
86,17,0
87,16,0
88,17,0
89,16,0
90,17,0
91,17,0
92,16,0
93,17,0
94,17,0
95,16,0
96,17,0
97,17,0
98,16,0
99,18,0
100,16,0
101,17,0
102,16,0
103,17,0
104,17,0
105,6,0
106,0,0
107,2,0
108,16,0
109,17,0
110,16,0
111,17,0
112,15,1
113,1,1
114,17,1
115,16,1
116,19,1
117,10,0
118,7,0
119,14,0
120,18,0
121,17,0
122,16,0
123,17,0
124,17,0
125,17,0
126,16,10
127,17,10
128,16,10
129,17,10
130,12,0
131,5,0
132,16,0
133,17,0
134,12,100
135,5,100
136,16,100
137,17,100
138,16,100
139,17,100
140,4,0
141,14,0
142,15,0
143,16,0
144,19,0
145,13,1
146,2,1
147,17,1
148,18,1
149,16,1
150,16,1
151,17,1
152,14,1
153,3,1
154,15,1
155,18,1
156,16,1
157,18,1
158,17,1
159,13,1
160,3,1
161,17,1
162,16,1
163,17,1
164,16,1
165,17,1
166,14,1
167,3,1001
168,15,1001
169,18,1001
170,17,1001
171,16,1001
172,9,1000
173,8,1000
174,5,0
175,12,0
176,16,0
177,17,0
178,18,0
179,15,0
180,9,100
181,9,100
182,15,100
183,18,100
184,16,100
185,17,100
186,2,0
187,13,0
188,18,0
189,17,0
190,14,10
191,2,10
192,17,10
193,17,10
194,15,10
195,18,10
196,16,10
197,16,10
198,19,10
199,16,10
200,17,10
201,16,10
202,17,10
203,14,10
204,2,10
205,18,10
206,15,10
207,17,10
208,17,10
209,17,10
210,14,10
211,2,10
212,13,110
213,4,110
214,17,110
215,16,110
216,3,100
217,14,100
218,10,0
219,7,0
220,16,0
221,17,0
222,17,0
223,15,0
224,16,1000
225,2,1000
226,16,1000
227,17,1000
228,17,1000
229,17,1000
230,5,0
231,10,0
232,19,0
233,16,0
234,15,0
235,18,0
236,17,0
237,17,0
238,16,0
239,17,0
240,15,0
241,18,0
242,16,0
243,17,0
244,17,0
245,17,0
246,16,0
247,4,1
248,13,1
249,17,1
250,16,1
251,7,0
252,10,0
253,16,0
254,18,0
255,15,0
256,17,0
257,16,0
258,19,0
259,16,0
260,15,0
261,18,0
262,17,0
263,16,0
264,17,0
265,16,0
266,16,0
267,10,100
268,8,100
269,17,100
270,17,100
271,16,100
272,15,0
273,1,0
274,17,0
275,17,0
276,17,0
277,15,0
278,18,0
279,16,0
280,18,0
281,17,0
282,16,0
283,15,0
284,18,0
285,17,0
286,15,0
287,18,0
288,17,0
289,2,10
290,14,10
291,17,10
292,17,10
293,15,10
294,10,0
295,9,0
296,15,0
297,15,100
298,2,100
299,17,100
300,17,100
301,17,100
302,10,0
303,6,0
304,17,0
305,17,0
306,16,0
307,17,0
308,15,0
309,13,1000
310,5,1000
311,17,1000
312,16,1000
313,18,1000
314,16,1000
315,17,0
316,16,0
317,17,0
318,15,0
319,14,10
320,4,10
321,17,10
322,17,10
323,16,10
324,17,10
325,16,10
326,13,10
327,4,10
328,17,10
329,16,10
330,17,10
331,17,10
332,16,10
333,13,10
334,4,10
335,17,10
336,16,10
337,17,10
338,17,10
339,15,10
340,4,110
341,10,110
342,4,110
343,17,110
344,16,110
345,5,100
346,11,0
347,1,0
348,16,0
349,17,0
350,17,0
351,16,0
352,18,0
353,16,1000
354,17,1000
355,17,1000
356,16,1000
357,16,1000
358,10,0
359,7,0
360,17,0
361,16,0
362,16,0
363,18,0
364,2,1
365,15,1
366,16,1
367,17,1
368,17,1
369,16,1
370,17,1
371,2,1
372,15,1
373,17,1
374,16,1
375,16,1
376,16,1
377,18,1
378,2,1
379,14,1
380,17,1
381,17,1
382,16,1
383,16,1
384,18,1
385,2,1
386,3,1001
387,12,1001
388,17,1001
389,9,1000
390,7,1000
391,17,1000
392,17,1000
393,8,0
394,9,0
395,15,0
396,17,0
397,17,0
398,15,0
399,18,0
400,9,10
401,9,10
402,16,10
403,15,10
404,18,10
405,17,10
406,15,0
407,1,0
408,17,0
409,17,0
410,16,0
411,18,0
412,16,0
413,16,0
414,18,0
415,16,0
416,15,0
417,18,0
418,17,0
419,16,0
420,17,0
421,9,100
422,8,100
423,15,100
424,18,100
425,17,100
426,16,0
427,17,0
428,17,0
429,16,0
430,17,0
431,17,0
432,17,0
433,16,0
434,17,0
435,16,0
436,17,0
437,18,0
438,15,0
439,15,1
440,2,1
441,17,1
442,6,1001
443,11,1001
444,16,1001
445,17,1001
446,6,1000
447,10,1000
448,17,1000
449,11,0
450,6,0
451,16,0
452,17,0
453,17,0
454,16,0
455,18,0
456,16,0
457,15,0
458,18,0
459,17,0
460,16,0
461,18,0
462,11,1000
463,5,1000
464,16,1000
465,17,1000
466,17,1000
467,16,1000
468,17,0
469,16,0
470,17,0
471,17,0
472,15,100
473,1,100
474,17,100
475,17,100
476,17,100
477,15,100
478,6,0
479,12,0
480,17,0
481,16,0
482,17,0
483,17,0
484,16,0
485,8,10
486,10,10
487,16,10
488,16,10
489,17,10
490,2,0
491,14,0
492,17,0
493,17,0
494,17,1000
495,16,1000
496,17,1000
497,16,1000
498,17,1000
499,17,1000
500,17,1000
501,17,1000
502,16,1000
503,18,1000
504,14,1000
505,18,1000
506,17,1000
507,17,1000
508,16,1000
509,16,1000
510,16,1000
511,18,1000
512,9,1001
513,7,1001
514,2,1001
515,14,1
516,2,1
517,17,1
518,16,1
519,3,0
520,12,0
521,18,0
522,16,0
523,16,0
524,19,0
525,16,0
526,16,0
527,13,10
528,4,10
529,17,10
530,16,10
531,17,10
532,17,10
533,4,0
534,12,0
535,17,0
536,17,0
537,16,0
538,3,100
539,14,100
540,17,100
541,15,100
542,18,100
543,17,100
544,16,100
545,4,100
546,13,100
547,17,100
548,15,100
549,18,100
550,17,100
551,17,100
552,2,100
553,14,100
554,17,100
555,16,100
556,17,100
557,17,100
558,16,100
559,4,100
560,13,100
561,13,10
562,4,10
563,16,10
564,18,10
565,16,10
566,9,0
567,8,0
568,16,0
569,17,0
570,15,0
571,6,1
572,12,1
573,17,1
574,16,1
575,18,1
576,14,0
577,2,0
578,15,0
579,18,0
580,17,0
581,16,0
582,17,0
583,17,0
584,16,0
585,17,0
586,17,0
587,15,0
588,18,0
589,17,0
590,16,0
591,17,0
592,2,1000
593,15,1000
594,16,1000
595,17,1000
596,17,1000
597,11,0
598,6,0
599,17,0
600,14,0
601,17,0
602,18,0
603,17,0
604,17,0
605,16,0
606,17,0
607,15,0
608,18,0
609,16,0
610,18,0
611,17,0
612,16,10
613,16,10
614,17,10
615,16,10
616,15,0
617,3,0
618,16,0
619,16,0
620,18,0
621,16,0
622,17,0
623,17,0
624,17,0
625,16,0
626,17,0
627,16,0
628,17,0
629,16,0
630,18,0
631,15,0
632,18,0
633,12,100
634,4,100
635,16,100
636,18,100
637,16,100
638,8,0
639,9,0
640,15,0
641,18,0
642,17,0
643,4,10
644,13,10
645,16,10
646,17,10
647,17,10
648,13,0
649,4,0
650,15,0
651,18,0
652,16,0
653,16,0
654,16,0
655,4,1
656,14,1
657,17,1
658,16,1
659,17,1
660,10,0
661,7,0
662,15,0
663,18,0
664,17,0
665,16,0
666,5,100
667,12,100
668,16,100
669,17,100
670,17,100
671,16,100
672,18,100
673,4,100
674,12,100
675,17,100
676,17,100
677,17,100
678,16,100
679,16,100
680,5,100
681,12,100
682,17,100
683,15,100
684,19,100
685,16,100
686,16,100
687,6,100
688,2,110
689,9,110
690,15,10
691,2,10
692,16,10
693,18,10
694,3,0
695,13,0
696,15,0
697,19,0
698,16,0
699,17,0
700,6,1
701,10,1
702,17,1
703,16,1
704,17,1
705,2,0
706,15,0
707,17,0
708,16,0
709,17,0
710,12,1000
711,4,1000
712,18,1000
713,15,1000
714,17,1000
715,9,0
716,8,0
717,17,0
718,17,0
719,17,0
720,16,0
721,17,0
722,8,10
723,9,10
724,16,10
725,16,10
726,11,0
727,6,0
728,17,0
729,16,0
730,17,0
731,18,0
732,14,0
733,18,0
734,17,0
735,17,0
736,16,0
737,16,0
738,18,0
739,16,0
740,17,0
741,15,0
742,18,0
743,17,0
744,16,10
745,17,10
746,17,10
747,16,10
748,13,0
749,4,0
750,16,0
751,17,0
752,17,0
753,16,0
754,16,0
755,18,0
756,17,0
757,16,0
758,17,0
759,16,0
760,18,0
761,16,0
762,17,0
763,16,0
764,17,0
765,17,0
766,16,0
767,3,10
768,14,10
769,16,10
770,17,10
771,14,0
772,3,0
773,16,0
774,17,0
775,17,0
776,15,0
777,18,0
778,17,0
779,17,0
780,16,0
781,17,0
782,16,0
783,18,0
784,16,0
785,17,0
786,9,1100
787,8,1100
788,16,1100
789,16,1100
790,18,1100
791,16,1100
792,16,1100
793,10,1100
794,6,1100
795,18,1100
796,16,1100
797,18,1100
798,16,1100
799,17,1100
800,9,1100
801,6,1100
802,18,1100
803,17,1000
804,16,1000
805,9,0
806,8,0
807,17,0
808,13,11
809,3,11
810,17,11
811,16,11
812,18,11
813,6,0
814,10,0
815,17,0
816,16,0
817,17,0
818,17,0
819,17,0
820,16,0
821,17,0
822,16,0
823,18,0
824,16,0
825,16,0
826,18,0
827,16,0
828,2,101
829,14,101
830,18,101
831,16,101
832,14,1
833,2,1
834,11,0
835,6,0
836,17,0
837,17,0
838,16,0
839,17,0
840,16,0
841,18,0
842,16,0
843,16,0
844,17,0
845,17,0
846,16,0
847,17,0
848,17,0
849,4,1000
850,12,1000
851,17,1000
852,17,1000
853,15,1000
854,14,0
855,3,0
856,18,0
857,16,10
858,16,10
859,18,10
860,16,10
861,13,0
862,4,0
863,17,0
864,17,0
865,16,0
866,17,0
867,15,0
868,18,0
869,11,1
870,6,1
871,16,1
872,3,101
873,14,101
874,17,101
875,15,101
876,4,100
877,12,0
878,2,0
879,17,0
880,16,0
881,16,1000
882,0,1000
883,18,1000
884,17,1000
885,16,1000
886,17,1000
887,7,0
888,9,0
889,17,0
890,17,0
891,16,0
892,17,0
893,17,0
894,16,0
895,17,0
896,17,0
897,17,0
898,16,0
899,17,0
900,16,0
901,17,0
902,2,1000
903,15,1000
904,16,1000
905,17,1000
906,17,1000
907,11,0
908,6,0
909,16,0
910,17,0
911,16,0
912,17,0
913,15,1
914,1,1
915,17,1
916,9,101
917,9,101
918,16,101
919,16,101
920,8,100
921,9,100
922,3,0
923,14,0
924,16,0
925,17,0
926,17,0
927,15,0
928,18,0
929,16,0
930,18,0
931,16,0
932,17,0
933,17,0
934,16,0
935,17,0
936,16,0
937,17,0
938,6,10
939,11,10
940,16,10
941,18,10
942,16,10
943,2,0
944,15,0
945,16,0
946,17,0
947,16,0
948,17,0
949,7,1000
950,10,1000
951,16,1000
952,17,1000
953,17,1000
954,17,0
955,15,0
956,17,0
957,18,0
958,13,100
959,4,100
960,16,100
961,4,101
962,11,101
963,17,101
964,17,101
965,7,1
966,10,0
967,17,0
968,16,0
969,17,0
970,18,0
971,16,0
972,16,0
973,18,0
974,15,0
975,18,0
976,16,0
977,17,0
978,16,0
979,17,0
980,17,0
981,16,0
982,3,10
983,14,10
984,16,10
985,17,10
986,15,0
987,1,0
988,18,0
989,17,0
990,17,0
991,15,0
992,17,0
993,17,0
994,17,0
995,16,0
996,17,0
997,17,0
998,16,0
999,17,0
1000,2,1000
1001,14,1000
1002,11,1001
1003,7,1001
1004,15,1001
1005,18,1001
1006,16,1001
1007,7,1
1008,10,0
1009,16,0
1010,18,0
1011,17,0
1012,15,0
1013,17,0
1014,17,0
1015,16,0
1016,17,0
1017,17,0
1018,17,0
1019,16,0
1020,17,0
1021,17,0
1022,16,0
1023,17,0
1024,4,100
1025,13,100
1026,15,100
1027,19,100
1028,16,100
1029,13,0
1030,3,0
1031,17,0
1032,16,0
1033,14,10
1034,3,10
1035,17,10
1036,17,10
1037,15,10
1038,18,10
1039,5,0
1040,12,0
1041,16,0
1042,17,0
1043,17,0
1044,15,1
1045,2,1
1046,16,1
1047,16,1
1048,3,1001
1049,14,1001
1050,18,1001
1051,16,1001
1052,2,1000
